track_num,action
0,1
1,4
2,1
3,2
4,1
5,4
6,3
7,2
8,3
9,0
10,2
11,1
12,3
13,2
14,3
15,1
16,1
17,3
18,1
19,4
20,2
21,2
22,1
23,3
24,2
25,0
26,1
27,3
28,1
29,4
30,0
31,1
32,5
33,1
34,6
35,2
36,0
37,0
38,6
39,0
40,2
41,2
42,0
43,1
44,3
45,0
46,6
47,2
48,0
49,1
50,1
51,2
52,3
53,0
54,1
55,2
56,7
57,3
58,3
59,6
60,0
61,3
62,4
63,2
64,0
65,3
66,0
67,4
68,3
69,1
70,0
71,5
72,1
73,3
74,1
75,2
76,2
77,1
78,4
79,2
80,4
81,1
82,4
83,3
84,3
85,2
86,2
87,1
88,1
89,4
90,0
91,0
92,0
93,1
94,0
95,4
96,4
97,4
98,0
99,1
100,0
101,6
102,1
103,1
104,1
105,3
106,0
107,4
108,1
109,0
110,1
111,0
112,3
113,5
114,4
115,2
116,3
117,0
118,4
119,3
120,2
121,0
122,1
123,1
124,1
125,1
126,1
127,0
128,3
129,0
130,1
131,1
132,1
133,1
134,2
135,2
136,1
137,1
138,1
139,0
140,2
141,0
142,7
143,5
144,1
145,2
